Date,Station_ID,DO_pct,Nitrite_mgL,Nitrate_mgL,COD_mgL,BOD_mgL,Ammonium_mgL,TP_mgL,TKN_mgL,SulfideH2S_mgL,TotalAlkalinity_mgL,Salinity_pct
2024-11-05,4,0.31,0.01,1.1,1483,741.06,9,18.8,93,7.94,399,4.44
2024-11-19,1,0.55,0.005,0.4,1504,752.1,8.92,56.9,56,3.72,376,0.74
2024-11-19,3,0.43,0.009,1.1,1388,694.02,9,65.8,88,3.72,485,1.9
2024-11-19,4,0.39,0.01,1,1479,739.06,8.96,18.7,92,7.92,397,4.13
2025-01-14,1,0.28,0.01,0.9,707,353.63,6.4,5.53,2.77,2.3,250,0.67
2025-01-14,3,0.35,0.007,0.6,1109,552.5,7.8,5.64,4.88,14,420,0.66
2025-01-14,4,0.24,0.009,0.6,4160,1105,8.12,13.8,8.12,14,320,0.83
2025-01-28,1,0.37,0.012,1.5,794,791.25,6.8,12.5,4.5,32,208,0.69
2025-01-28,3,0.26,0.009,1.4,1485,741.75,8.4,10.2,4.98,20,460,0.73
2025-01-28,4,0.22,0.008,3.3,1493,735.75,8.2,15.8,5.2,47,334,0.79
2025-02-10,1,4.39,0.021,0.9,347,169.65,5.2,5.5,2.2,250,220,0.68
2025-02-10,3,3.09,0.038,0.9,965,452.63,16.2,12.19,4.2,189,422,0.72
2025-02-10,4,1.22,0.098,1.5,1188,583.5,7.2,14.6,5.1,396,310,0.73
2025-03-17,1,0.6,0.014,0.8,659,329.1,5.8,11.65,14,300,240,1.2
2025-03-17,3,0.51,0.014,1.3,1499,749.25,8.2,11,15.4,296,245,1.2
2025-03-17,4,0.32,0.026,1.3,1624,812.25,8.4,11.4,12.1,115,340,4.1
2025-05-12,1,8.14,0.012,0.7,560,286.5,4.9,10.2,13.1,20.718,280,0.9
2025-05-12,3,14.149,0.013,1.2,1230,667.5,8.1,10.7,15,22.312,293,0.79
2025-05-12,4,6.5,0.002,1.2,1589,793.5,8.9,11.2,16.2,21.037,301,0.7
2025-06-02,1,6.7,0.006,0.4,422,208.75,2.7,9.66,6.5,5.313,180,3.24
2025-06-02,3,7.5,0.007,1,612,301.5,6.2,13.1,11.5,5.525,260,2.55
2025-06-02,4,10.9,0.001,1,871,429.38,6.8,16.1,12.6,5.525,280,1.83
